level_0,index,field_id,region,crop,start_sev,end_sbor,yield_dif,yield_plan,yield_fact,curr_t1,curr_t2,curr_t3,curr_t4,40_years_t1,40_years_t2,40_years_t3,40_years_t4,culture,type_by_season,delta_t1,delta_t2,delta_t3
334,834,2023 62.17.01.027.00,Рязань,Пшеница,2023-04-15,2023-08-13,2.0521493993918285,3.9,26.460000000000004,12.4725,18.139999999999997,20.985000000000007,21.023333333333333,10.994837398373985,17.854237534280408,20.095568396491764,20.00764055653024,Злаковые,Яровая,1.4776626016260153,0.2857624657195892,0.8894316035082426
335,835,2023 62.17.14.011.00,Рязань,Ячмень,2023-04-15,2023-08-24,1.2031391235773587,3.6,8.39,12.961363636363638,18.87727272727273,20.30227272727273,21.10606060606061,11.442567848648451,18.456277592187185,19.667561650701515,19.488400305267422,Злаковые,Яровая,1.5187957877151863,0.4209951350855441,0.6347110765712145
336,836,2023 62.18.04.002.01,Рязань,Ячмень,2023-04-15,2023-08-20,1.8630857984199,3.9,21.23,12.87857142857143,18.39523809523809,20.854761904761908,21.284375,11.218383225306908,18.149318801146755,19.9112943303793,19.565864749389377,Злаковые,Яровая,1.6601882032645214,0.24591929409133328,0.9434675743826091
337,838,2023 62.18.11.008.03,Рязань,Чечевица,2023-04-15,2023-08-06,1.3889504051780068,1.88,5.66,12.00263157894737,18.25,20.636842105263163,20.382142857142863,10.727364142062472,17.55828758422328,20.095043611109475,19.99724777535588,Бобовые,Яровая,1.2752674368848975,0.6917124157767205,0.5417984941536886
338,839,2023 62.24.07.012.00,Рязань,Люцерна,2023-04-15,2023-07-26,0.0,1.3,0.0,11.558823529411764,18.35588235294118,18.929411764705883,19.348,10.26501673840268,16.823794367206983,19.81850078829722,20.031851112734632,Бобовые,Яровая,1.293806791009084,1.5320879857341971,-0.8890890235913389
339,840,2023 62.24.14.036.00,Рязань,Ячмень,2023-04-15,2023-08-29,0.2644987369961237,3.6,1.09,12.991111111111111,18.85777777777778,20.184444444444445,20.56470588235294,11.556621896456264,18.6113006917646,19.661453234615465,19.669803165729423,Злаковые,Яровая,1.4344892146548478,0.2464770860131793,0.5229912098289802
340,841,2023 16.13.13.008.00,Татарстан,Люцерна,2023-04-16,2023-08-01,0.0,1.02,0.0,11.272222222222224,18.33333333333333,19.797222222222217,20.03333333333333,10.355303372478168,17.31303496031846,19.714593657029283,19.814088591787307,Бобовые,Яровая,0.9169188497440555,1.0202983730148674,0.08262856519293393
341,842,2023 16.13.15.012.00,Татарстан,Ячмень,2023-04-16,2023-08-25,0.9301991619202871,3.57,5.48,12.597727272727274,18.79772727272728,20.24090909090909,20.887878787878783,11.403125977140297,18.44298590289783,19.571794534894583,19.435545290301384,Злаковые,Яровая,1.1946012955869776,0.3547413698294477,0.669114556014506
342,843,2023 16.13.16.048.00,Татарстан,Эспарцет,2023-04-16,2023-08-11,0.0,1.53,0.0,11.925641025641028,18.18205128205128,20.743589743589748,20.555172413793105,10.79457647140574,17.699812654636258,20.04606908187189,20.037516268179587,Крестцветные,Яровая,1.1310645542352873,0.4822386274150219,0.6975206617178564
343,849,2023 16.13.17.031.00,Татарстан,Эспарцет,2023-04-16,2023-07-23,0.4667303039007664,1.53,0.91,11.003030303030306,18.442424242424245,18.51515151515152,19.41666666666666,9.96047877145438,16.729098109799757,19.765419715021405,19.94232905052265,Крестцветные,Яровая,1.042551531575926,1.7133261326244877,-1.2502681998698861
