index,field_id,region,crop,start_sev,end_sbor,yield_dif,yield_plan,yield_fact,curr_t1,curr_t2,curr_t3,40_years_t1,40_years_t2,40_years_t3,culture,type_by_season,delta_t1,delta_t2,delta_t3
5643,2024 36.14.14.009.00,Воронеж,Соя,2024-05-06,2024-09-12,1.4614018336066958,2.5,8.28,9.7,20.182692307692307,19.45,13.40806571815718,18.880210503094663,18.173070891703368,Бобовые,Яровая,-3.7080657181571812,1.3024818045976438,1.2769291082966312
5644,2024 36.14.15.002.01,Воронеж,Кукуруза,2024-05-06,2024-09-28,0.3168940739268878,7.0,2.61,10.50909090909091,20.491525423728817,17.82461538461539,13.861877925597437,19.025187724865912,16.484617993588696,Судецветные,Яровая,-3.352787016506527,1.4663376988629047,1.3399973910266958
5645,2024 40.04.07.016.00,Калуга,Вика,2024-05-06,2024-07-17,0.3661851339397245,4.5,1.99,6.281818181818182,16.886666666666667,21.6625,13.160279625523527,16.398017163504967,19.792860215031745,Злаковые,Яровая,-6.878461443705345,0.4886495031616995,1.869639784968257
5646,2024 40.10.13.009.00,Калуга,Пшеница,2024-05-06,2024-09-24,0.6731369845530599,5.3,5.09,10.50909090909091,20.436842105263164,18.65079365079366,13.861877925597437,19.006762885762257,17.12583931863879,Злаковые,Яровая,-3.352787016506527,1.4300792195009073,1.52495433215487
5648,2024 40.22.01.013.00,Калуга,Люцерна,2024-05-06,2024-09-01,0.5596157879354227,2.0,1.5,9.672222222222224,19.39166666666667,20.386792452830186,13.413794790725683,18.37122849912398,19.29468937240538,Бобовые,Яровая,-3.741572568503459,1.0204381675426895,1.0921030804248062
5649,2024 40.23.02.022.00,Калуга,Кукуруза,2024-05-06,2024-09-16,1.7305096520177017,8.5,39.47,10.11904761904762,20.38679245283019,19.328333333333333,13.657681636340172,18.92724157176943,17.894129581685696,Судецветные,Яровая,-3.5386340172925514,1.4595508810607605,1.4342037516476367
5650,2024 40.23.12.002.01,Калуга,Рапс,2024-05-06,2024-08-25,0.2224875985192893,6.1,1.52,9.358823529411763,19.186666666666667,20.174,13.43029252351347,18.1233316276112,19.505434974610942,Крестцветные,Яровая,-4.071468994101707,1.0633350390554668,0.6685650253890572
5651,2024 40.23.12.018.00,Калуга,Кукуруза,2024-05-06,2024-08-30,1.5861090753613625,8.5,33.02,9.672222222222224,19.30212765957447,20.36538461538461,13.413794790725683,18.345137616126618,19.448266950662592,Судецветные,Яровая,-3.741572568503459,0.9569900434478527,0.9171176647220172
5652,2024 46.22.02.068.00,Курск,Соя,2024-05-06,2024-09-03,0.504405055963068,2.5,1.64,9.878947368421054,19.566666666666663,20.25185185185185,13.39552488945942,18.52730912243021,19.079804937324703,Бобовые,Яровая,-3.516577521038366,1.0393575442364522,1.1720469145271473
5653,2024 46.22.04.002.00,Курск,Кукуруза,2024-05-06,2024-09-30,1.1325961414837085,8.1,17.04,10.31304347826087,20.80169491525424,17.52727272727273,13.876578885354068,19.111132330074675,16.199596065378373,Судецветные,Яровая,-3.563535407093198,1.690562585179567,1.3276766618943583
