field,region,land_type,fertility_score,season,crop,crop_predecessor,area,hybrid,seed_origin,technology,yield_plan,p2o5,k2o,humus,ph,soil,key,yield_plan_full
62.10.02.009.01,Рязань,пашня,2.0,2024,Пар,"Залежь, лес",176.4,(нет сорта),Покупные,минимальная,2.0,5.46,133.12,5.61,2.1,Серые лесные,"(2024, '62.10.02.009.01')",1.0
62.10.02.009.02,Рязань,пашня,2.0,2024,Люцерна пр.лет корм,"Залежь, лес",5.27,Сарга,Покупные,минимальная,4.5,5.46,133.12,5.61,2.1,Серые лесные,"(2024, '62.10.02.009.02')",0.25
62.10.02.009.03,Рязань,пашня,2.0,2024,Кукуруза зерно,"Залежь, лес",74.01,Галифакс,Покупные,минимальная,7.5,5.46,133.12,5.61,2.1,Серые лесные,"(2024, '62.10.02.009.03')",1.0
62.10.02.010.01,Рязань,пашня,3.0,2024,Горчица сарептская,"Залежь, лес",120.0,Люкс,Покупные,минимальная,1.5,5.76,177.07,5.61,1.56,Серые лесные,"(2024, '62.10.02.010.01')",0.5
62.10.02.010.02,Рязань,пашня,3.0,2024,Пар,"Залежь, лес",283.93,(нет сорта),Покупные,минимальная,2.0,5.76,177.07,5.61,1.56,Серые лесные,"(2024, '62.10.02.010.02')",1.0
62.10.02.011.01,Рязань,пашня,3.0,2024,"Залежь, лес","Залежь, лес",134.19,(нет сорта),Покупные,минимальная,2.0,0.0,0.0,0.0,0.0,Серые лесные,"(2024, '62.10.02.011.01')",1.0
62.10.02.011.02,Рязань,пашня,3.0,2024,Залежь,"Залежь, лес",68.3,(нет сорта),Покупные,минимальная,2.0,0.0,0.0,0.0,0.0,Серые лесные,"(2024, '62.10.02.011.02')",1.0
62.10.02.012.00,Рязань,пашня,4.0,2024,Люцерна пр.лет корм,"Залежь, лес",78.51,Сарга,Покупные,минимальная,4.5,5.78,108.9,86.36,4.66,Серые лесные,"(2024, '62.10.02.012.00')",0.75
62.10.02.013.00,Рязань,пашня,4.0,2024,Люцерна пр.лет корм,"Залежь, лес",246.22,Сарга,Покупные,минимальная,4.5,5.69,115.96,5.61,4.28,Серые лесные,"(2024, '62.10.02.013.00')",1.0
62.10.02.014.00,Рязань,пашня,4.0,2024,Оз.пшеница мягкая,"Залежь, лес",76.94,Бирюза,Свои,минимальная,4.8,6.15,209.0,84.63,4.11,Серые лесные,"(2024, '62.10.02.014.00')",0.75
62.10.02.015.00,Рязань,пашня,4.0,2024,Оз.пшеница мягкая,"Залежь, лес",84.41,Бирюза,Свои,минимальная,4.8,5.69,117.7,92.85,4.13,Серые лесные,"(2024, '62.10.02.015.00')",0.75
62.10.02.016.01,Рязань,пашня,3.0,2024,"Залежь, лес","Залежь, лес",307.06,(нет сорта),Покупные,минимальная,2.0,6.91,158.22,49.28,8.43,Серые лесные,"(2024, '62.10.02.016.01')",1.0
