,field_id,region,crop,end_sev,end_sbor,yield_dif,yield_plan,yield_fact,curr_t1,curr_t2,curr_t3,curr_t4,40_years_t1,40_years_t2,40_years_t3,40_years_t4
3141,2023 36.29.07.009.00,Воронеж,Кукуруза зерно,2023-06-02,2024-01-06,1407.1230769230767,6.5,9146.3,18.820370370370377,18.390740740740743,8.751851851851852,-5.570370370370371,19.502520533359796,16.91149054056829,6.905185531596935,-5.373685515873018
3142,2023 36.29.07.011.00,Воронеж,Кукуруза зерно,2023-05-21,2024-01-04,1616.249230769231,6.5,10505.62,19.34912280701755,18.875438596491225,10.019298245614031,-4.871929824561403,18.83632217331872,18.012713058641854,8.162249769197953,-4.395529206782342
3143,2023 40.13.07.070.00,Калуга,Кукуруза силос,2023-05-20,2023-11-28,0.34379084967320256,7.65,2.63,18.345833333333342,21.270833333333336,14.124999999999998,3.095833333333333,18.171661748650767,20.083880293601176,12.375481949550915,2.1784713641776543
3144,2023 40.13.07.076.00,Калуга,Кукуруза силос,2023-05-20,2023-12-01,0.29934640522875816,7.65,2.29,18.53673469387756,21.12448979591837,13.324489795918367,2.2285714285714286,18.25173236502972,19.8659414722783,11.874006486944632,1.0093049224221349
3145,2023 40.13.07.077.00,Калуга,Кукуруза силос,2023-05-20,2023-12-01,0.396078431372549,7.65,3.03,18.53673469387756,21.12448979591837,13.324489795918367,2.2285714285714286,18.25173236502972,19.8659414722783,11.874006486944632,1.0093049224221349
3146,2023 40.14.07.011.00,Калуга,Кукуруза силос,2023-05-20,2023-09-25,1.0143790849673202,7.65,7.76,18.528125000000003,20.246874999999996,20.649999999999995,14.943749999999998,17.194126863143634,20.40881410081015,19.780372099424124,13.630386305020899
3147,2023 40.14.08.022.00,Калуга,Кукуруза силос,2023-05-20,2023-10-06,1.0444444444444445,7.65,7.99,18.154285714285717,20.89428571428571,19.302857142857142,14.188571428571427,17.522922957801008,20.399343357273285,18.38895595766022,12.442823173863399
3148,2023 40.14.08.026.01,Калуга,Кукуруза силос,2023-05-20,2023-10-05,1.245751633986928,7.65,9.53,18.30588235294118,20.408823529411762,20.123529411764707,14.429411764705883,17.382564163876935,20.417473255155784,18.948315494435022,13.002401048024097
3149,2023 40.16.08.009.00,Калуга,Смесь зерн.и зернобоб.с подс.(мн.травосм.корм)фураж,2023-05-21,2023-09-12,,,44.61,18.060714285714283,20.650000000000006,21.092857142857138,17.092857142857145,17.021888308168798,20.500485314693442,19.762623100561363,16.7969228379175
3150,2023 40.22.01.059.00,Калуга,Кукуруза силос,2023-05-20,2023-10-23,2.0849673202614376,7.65,15.95,17.920512820512823,21.394871794871793,17.5,11.471794871794868,17.839896463067195,20.18558826413623,16.73290434527612,9.592784017841637
