,field,region,land_type,fertility_score,season,crop,crop_predecessor,crop_yearold,area,hybrid,reproduction,seed_origin,technology,yield_plan,p2o5,k2o,humus,ph,yield_plan_full
4843,36.02.11.009.00,Воронеж,пашня,3.0,2023,Эсп.+костр.пр.лет корм,Кукуруза силос,4.0,18.72,Песчаный 1251,РСт,Свои,минимальная,3.4,51.7,55.0,3.41,4.73,63.647999999999996
4844,36.02.11.010.00,Воронеж,пашня,3.0,2023,Эсп.+костр.пр.лет корм,Кукуруза силос,4.0,27.05,Песчаный 1251,РСт,Свои,минимальная,3.4,46.2,75.9,4.18,5.39,91.97
4845,36.02.11.011.00,Воронеж,пашня,2.0,2023,Эсп.+костр.пр.лет корм,Кукуруза силос,4.0,21.09,Песчаный 1251,РСт,Свои,минимальная,3.4,59.4,45.1,3.03,5.06,71.706
4846,36.02.11.012.00,Воронеж,пашня,2.0,2023,Эсп.+костр.пр.лет корм,Кукуруза силос,4.0,3.78,Песчаный 1251,РСт,Свои,минимальная,3.4,64.9,68.2,8.03,5.83,12.851999999999999
4847,36.02.11.013.00,Воронеж,пашня,2.0,2023,Кукуруза силос,Кукуруза силос,0.0,159.34,Золотой початок 200 СВ,F1,Покупные,минимальная,8.1,83.6,94.6,7.37,5.83,1290.654
4848,36.02.11.014.00,Воронеж,пашня,3.0,2023,Оз.пшеница мягкая,Кукуруза силос,0.0,176.44,Безостая 100,РС-1,Свои,минимальная,5.7,103.4,126.5,7.15,6.16,1005.708
4849,36.02.11.015.00,Воронеж,пашня,2.0,2023,Кукуруза силос,Кукуруза силос,0.0,117.21,Креатив,F1,Покупные,минимальная,8.1,85.8,104.5,6.49,5.72,949.401
4850,36.02.11.016.00,Воронеж,пашня,3.0,2023,Оз.пшеница мягкая,Кукуруза силос,0.0,128.06,Безостая 100,РС-1,Свои,минимальная,5.7,91.3,114.4,7.26,5.94,729.942
4851,36.02.11.017.00,Воронеж,пашня,3.0,2023,Подсолнечник,Кукуруза силос,0.0,125.74,Суберик,F1,Покупные,минимальная,2.5,115.5,106.7,7.15,5.94,314.34999999999997
4852,36.02.11.018.00,Воронеж,пашня,3.0,2023,Подсолнечник,Кукуруза силос,0.0,51.16,Суберик,F1,Покупные,минимальная,2.5,81.4,103.4,7.26,5.94,127.89999999999999
4853,36.02.11.019.00,Воронеж,пашня,3.0,2023,Кукуруза силос,Кукуруза силос,0.0,56.49,Микси,F1,Покупные,минимальная,8.1,139.7,105.6,6.49,5.83,457.569
4854,36.02.11.020.00,Воронеж,пашня,3.0,2023,Оз.пшеница мягкая,Кукуруза силос,0.0,102.45,Безостая 100,РС-1,Свои,минимальная,5.7,159.5,95.7,6.49,6.27,583.965
4855,36.02.11.021.00,Воронеж,пашня,3.0,2023,Яр.пшеница мягкая,Кукуруза силос,0.0,159.27,Ликамеро,ЭС,Покупные,минимальная,5.0,184.8,212.3,7.37,6.6,796.35
4856,36.02.11.022.00,Воронеж,пашня,3.0,2023,Сах.свекла,Кукуруза силос,0.0,197.84,Виорика,F1,Покупные,минимальная,45.0,122.1,127.05,7.7,6.1,8902.8
4857,36.02.11.023.00,Воронеж,пашня,2.0,2023,Оз.пшеница мягкая,Кукуруза силос,0.0,85.1,Безостая 100,РС-1,Свои,минимальная,5.7,99.0,122.1,6.82,5.94,485.07
4858,36.02.11.024.00,Воронеж,пашня,2.0,2023,Оз.пшеница мягкая,Кукуруза силос,0.0,140.63,Безостая 100,РС-1,Свои,минимальная,5.7,97.9,119.9,6.82,6.05,801.591
